288 156
353	2	3	-1
354	2	3	-1
355	2	3	-1
356	2	3	-1
357	0 0     -1
358	2	3	-1
359	2	3	-1
360	0   0   -1
361	2	3	-1
362	2	3	-1
363	2	3	-1
364	2	3	-1
365	2	3	-1
366	2	3	-1
367	2	3	-1
368	2	3	-1
369	2	3	-1
370	2	3	-1
371	2	3	-1
372	2	3	-1
373	2	3	-1
374	2	3	-1
375	2	3	-1
376	2	3	-1
377	2	3	-1
378	0   0   -1
379	2	3	-1
380	2	3	-1
381	2	3	-1
382	2	3	-1
383	2	3	-1
384	2	3	-1
385	2	3	-1
386	2	3	-1
387	2	3	-1
388	2	3	-1
389	2	3	-1
390	2	3	-1
391	2	3	-1
392	0   0   -1
393	2	3	-1
394	2	3	-1
395	2	3	-1
396	0   0   -1
397	2	3	-1
398	2	3	-1
399	2	3	-1
400	2	3	-1
401	2	3	-1
402	2	3	-1
403	2	3	-1
404	2	3	-1
405	2	3	-1
406	2	3	-1
407	2	3	-1
408	2	3	-1
409	2	3	-1
410	2	3	-1
411	2	3	-1
412	2	3	-1
413	2	3	-1
414	2	3	-1
415	2	3	-1
416	2	3	-1
417	2	3	-1
418	2	3	-1
419	2	3	-1
420	2	3	-1
421	2	3	-1
422	2	3	-1
423	2	3	-1
424	2	3	-1
425	2	3	-1
426	2	3	-1
427	2	3	-1
428	2	3	-1
429	2	3	-1
430	2	3	-1
431	2	3	-1
432	2	3	-1
433	2	3	-1
434	2	3	-1
435	2	3	-1
436	2	3	-1
437	2	3	-1
438	2	3	-1
439	2	3	-1
440	2	3	-1
441	2	3	-1
442	2	3	-1
443	2	3	-1
444	2	3	-1
445	2	3	-1
446	2	3	-1
447	2	3	-1
448	2	3	-1
449	2	3	-1
450	2	3	-1
451	2	3	-1
452	2	3	-1
453	2	3	-1
454	2	3	-1
455	2	3	-1
456	2	3	-1
457	2	3	-1
458	2	3	-1
459	2	3	-1
460	2	3	-1
461	2	3	-1
462	2	3	-1
463	2	3	-1
464	2	3	-1
465	2	3	-1
466	2	3	-1
467	2	3	-1
468	2	3	-1
469	2	3	-1
470	2	3	-1
471	2	3	-1
472	2	3	-1
473	2	3	-1
474	2	3	-1
475	2	3	-1
476	2	3	-1
477	2	3	-1
478	2	3	-1
479	2	3	-1
480	2	3	-1
481	2	3	-1
482	2	3	-1
483	2	3	-1
484	2	3	-1
485	2	3	-1
486	2	3	-1
487	2	3	-1
488	2	3	-1
489	2	3	-1
490	2	3	-1
491	2	3	-1
492	2	3	-1
493	2	3	-1
494	2	3	-1
495	2	3	-1
496	2	3	-1
497	2	3	-1
498	2	3	-1
499	2	3	-1
500	2	3	-1
501	2	3	-1
